,country,x,y
0,South Africa,69.0,-227.0
1,Zimbabwe,112.0,-145.0
2,Botswana,69.0,-176.0
3,Namibia,13.0,-162.0
4,Zambia,75.0,-123.0
5,Angola,9.0,-102.0
6,Madagascar,220.0,-168.0
7,Mozambique,167.0,-122.0
8,Tanzania,146.0,-73.0
9,Democratic Republic Of Congo,54.0,-52.0
10,Kenya,163.0,-17.0
11,Uganda,129.0,-1.0
12,Somalia,235.0,48.0
13,Ethiopia,178.0,30.0
14,Sudan,101.0,78.0
15,Congo,15.0,-19.0
16,Gabon,-19.0,-21.0
17,Cameroon,-18.0,10.0
18,Central African Republic,43.0,24.0
19,Egypt,106.0,161.0
20,Chad,32.0,82.0
21,Nigeria,-49.0,52.0
22,Cote D`Ivoire,-133.0,33.0
23,Ghana,-103.0,25.0
24,Guinea,-172.0,60.0
25,Senegal,-203.0,85.0
26,Mauritania,-174.0,111.0
27,Algeria,-92.0,168.0
28,Mali,-109.0,103.0
29,Niger,-34.0,101.0
30,Libya,8.0,161.0
31,Tunisia,-23.0,232.0
32,Morocco,-151.0,203.0
33,Western Sahara,-208.0,158.0
34,Lesotho,106.0,-211.0
35,Swaziland,123.0,-199.0
36,Comoros,212.0,-96.0
37,Seychelles,274.0,-36.0
38,Mauritius,268.0,-148.0
39,Equatorial Guinea,-66.0,-3.0
40,Sao Tome & Principe,-96.0,-14.0
41,Benin,-70.0,42.0
42,Togo,-76.0,18.0
43,Djibouti,199.0,65.0
44,Eritrea,172.0,99.0
45,Gambia,-224.0,71.0
46,Malawi,137.0,-99.0
47,Sierra Leone,-227.0,40.0
48,Cape Verde,-263.0,98.0
49,Burkino Faso,-115.0,65.0
